FinalRecordNumber,Time_Hour,Time_Minute,Time_Second,,,,,Latitude_DMM,Longitude_DMM,Altitude_Meters,Pressure_Pascal,Temperature_C,,,,,
1,13,50,53,0,-3,3,0,0,0,376.22,96891,8.38,0.47,10.7,0.74,980,655.67
2,13,50,55,0,-3,3,0,0,0,376.57,96888,8.41,0.43,10.7,0.7,556,455.28
3,13,50,57,0,-3,3,0,0,0,376.48,96888,8.4,0.43,10.66,0.74,520,421
4,13,50,59,0,4,0,1,0,0,376.31,96891,8.42,0.94,10.9,0.31,509,409.57
5,13,50,58,0,-11,3,-2,0,0,375.87,96891,8.44,0.11,10.23,-1.76,509,409.57
6,13,51,0,0,-3,2,0,0,0,376.31,96892,8.44,0.47,10.74,0.62,509,409.57
7,13,51,2,0,7,4,6,0,0,375.79,96890,8.42,1.9,10.94,-2.39,511,411.33
8,13,51,4,0,-3,3,0,0,0,375.87,96890,8.44,0.43,10.74,0.7,513,413.9
9,13,51,7,0,-3,3,0,0,0,376.83,96892,8.48,0.5,10.66,0.62,515,414.85
10,13,51,9,0,-3,3,0,0,0,376.31,96888,8.5,0.5,10.74,0.7,517,416.6
11,13,51,11,0,-3,2,0,0,0,376.39,96881,8.5,0.47,10.7,0.7,519,417.48
12,13,51,13,0,-3,3,0,0,0,376.13,96884,8.48,0.47,10.74,0.7,520,419.24
13,13,51,15,0,-3,3,0,0,0,375.7,96888,8.51,0.5,10.7,0.66,518,416.6
14,13,51,17,0,-3,2,0,0,0,376.5,96890,8.53,0.5,10.7,0.74,519,417.48
15,13,51,19,0,-3,3,0,0,0,376.57,96891,8.54,0.47,10.66,0.7,521,419.24
16,13,51,21,3,-3,3,0,0,0,375.96,96886,8.58,0.5,10.7,0.7,519,418.36
17,13,51,23,3,-3,2,0,0,0,376.31,96886,8.58,0.47,10.7,0.66,521,420.12
18,13,51,26,3,-3,3,0,0,0,376.48,96884,8.58,0.5,10.74,0.7,523,421.88
19,13,51,28,3,-3,3,0,0,0,376.48,96886,8.58,0.47,10.7,0.66,524,421.88
20,13,51,30,3,-3,3,0,0,0,376.39,96883,8.6,0.47,10.63,0.66,524,422.76
21,13,51,32,6,-3,3,0,4010.29,8455.33,376.57,96885,8.6,0.47,10.7,0.7,526,424.51
22,13,51,34,6,-3,2,0,4010.28,8455.33,376.83,96881,8.63,0.5,10.66,0.74,525,423.64
23,13,51,36,6,-3,3,0,4010.28,8455.33,377,96881,8.64,0.5,10.7,0.7,527,425.39
24,13,51,39,6,-3,3,0,4010.28,8455.33,376.91,96877,8.64,0.47,10.78,0.66,527,425.39
25,13,51,40,6,-5,2,0,4010.28,8455.33,376.65,96886,8.63,0.39,10.74,0.7,527,425.39
26,13,51,43,6,9,2,3,4010.29,8455.33,377,96882,8.64,0.62,11.33,0.78,527,425.39
27,13,51,46,6,-3,2,1,4010.29,8455.33,377.17,96883,8.63,0.7,10.7,0.58,528,426.27
28,13,51,48,6,-8,3,-1,4010.29,8455.33,377.52,96881,8.6,0.62,10.47,-1.21,528,426.27
29,13,51,50,6,-3,3,0,4010.29,8455.33,377,96884,8.63,0.47,10.74,0.74,529,427.15
30,13,51,52,6,-3,2,0,4010.29,8455.33,376.57,96881,8.64,0.5,10.7,0.66,528,426.27
31,13,51,55,6,-2,3,0,4010.29,8455.33,377.52,96884,8.68,0.5,10.66,0.58,529,427.15
32,13,51,56,6,-3,2,-12,4010.29,8455.33,376.91,96882,8.69,1.56,11.41,1.33,528,426.27
33,13,51,59,6,-3,3,0,4010.29,8455.33,376.83,96877,8.7,0.54,10.63,0.58,528,426.27
34,13,52,0,6,-2,3,0,4010.29,8455.33,377.26,96881,8.7,0.54,10.66,0.74,528,426.27
35,13,52,4,6,-4,2,0,4010.29,8455.33,377.52,96880,8.64,0.66,10.66,0.58,529,427.15
36,13,52,6,6,-3,3,3,4010.29,8455.33,377.34,96880,8.63,0.3,11.2,-1.49,529,427.15
37,13,52,8,6,-2,3,0,4010.29,8455.33,377.43,96870,8.6,0.7,10.7,0.35,529,427.15
38,13,52,10,6,-2,3,0,4010.29,8455.33,377.8,96874,8.62,0.47,10.86,0.54,529,427.15
39,13,52,12,6,-3,3,-2,4010.29,8455.33,377,96873,8.64,0.58,9.84,-1.29,529,427.15
40,13,52,15,6,0,2,0,4010.29,8455.33,377.17,96873,8.63,1.49,10.78,0.31,529,427.15
41,13,52,16,6,-4,2,0,4010.29,8455.33,377,96874,8.63,0.5,10.7,0.9,530,428.3
42,13,52,19,6,16,2,5,4010.29,8455.33,377.6,96879,8.63,0.43,10.39,0.98,527,426.27
43,13,52,20,6,0,3,0,4010.29,8455.33,377.43,96875,8.63,0.19,10.86,0.86,528,426.27
44,13,52,24,6,3,3,1,4010.29,8455.33,377.26,96880,8.6,1.9,9.96,0.82,529,428.3
45,13,52,26,6,-3,3,0,4010.29,8455.33,377.34,96880,8.62,0.54,10.74,0.66,530,428.3
46,13,52,28,6,-3,2,0,4010.29,8455.33,377.6,96876,8.63,0.54,10.66,0.7,530,428.3
47,13,52,30,6,-3,2,0,4010.29,8455.33,376.91,96882,8.63,0.5,10.7,0.7,530,428.3
48,13,52,32,6,-3,3,0,4010.29,8455.33,377,96877,8.58,0.5,10.66,0.66,530,428.3
